,LT_Rev
19330429,   5.36
19330501,   2.14
19330502,   1.34
19330503,   3.06
19330504,   3.37
19330505,   0.31
19330506,  -2.10
19330508,  -1.37
19330509,   0.62
19330510,   1.74
19330511,   3.60
19330512,   0.45
19330513,  -1.90
19330515,  -0.47
19330516,   2.58
19330517,  -0.51
19330518,   1.99
19330519,  -0.51
19330520,  -1.68
19330522,  -0.53
19330523,   2.91
19330524,   1.66
19330525,  -0.31
19330526,   2.00
19330527,   0.71
19330529,   2.47
19330531,   1.61
19330601,   4.16
19330602,   2.49
19330603,  -0.56
19330605,   1.57
19330606,   1.07
19330607,   3.71
19330608,   1.07
19330609,  -2.24
19330610,  -0.26
19330612,   0.34
19330613,  -1.64
19330614,  -1.65
19330615,  -5.49
19330616,  -1.33
19330617,   3.22
19330619,   5.70
19330620,  -0.98
19330621,   0.32
19330622,  -2.03
19330623,   1.90
19330624,   0.18
19330626,   1.90
19330627,   0.34
19330628,  -3.18
19330629,   0.43
19330630,   1.47
19330701,   3.26
19330703,   1.57
19330705,   1.04
19330706,   1.32
19330707,   2.38
19330708,   2.30
19330710,   0.07
19330711,  -1.00
19330712,   0.24
19330713,  -0.10
19330714,  -0.51
19330715,  -0.51
19330717,   0.79
19330718,   0.32
19330719,  -2.18
19330720,  -3.87
19330721,  -6.43
19330722,  -0.42
19330724,   9.07
19330725,  -0.35
19330726,   0.91
19330727,  -0.38
19330728,  -0.93
19330731,  -2.26
19330801,   0.38
19330802,   2.11
19330803,   0.02
19330804,  -1.42
19330807,  -1.14
19330808,   0.62
19330809,   2.25
19330810,  -0.48
19330811,  -0.21
19330814,  -0.86
19330815,   0.42
19330816,  -1.99
19330817,   3.38
19330818,  -1.21
19330821,   1.19
19330822,   0.25
19330823,   1.17
19330824,  -0.96
19330825,   1.92
19330828,  -0.14
19330829,  -1.36
19330830,  -0.51
19330831,  -0.57
19330901,   0.65
19330905,  -1.23
19330906,  -0.80
19330907,  -1.93
19330908,  -0.23
19330909,  -0.32
19330911,   1.90
19330912,  -0.05
19330913,  -0.16
